Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	15158	-	0	0	0	0	0	0	16	74	0	0	0	0	0	0	0	0	0	0	130	85	0	0	0	6	0	0
fsh-generated/resources/CodeSystem-medication-line-origin-type.json	643	3	0	0	1	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	15	1932	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medication-type.json	763	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	13	72	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3081	3	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3050	4	0	0	0	0	0	0	0	2787	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	937	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-1.json	2650	2	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3380	2	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	3	1	1	0	0	11	0	0	6	298	0	0	0	0	0	0	0	0	0	11	6	0	0	0	1	0	1
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	2	0	0	0	0	3	0	0	6	10	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	1	0	0	0	0	2	0	0	5	10	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	2	0	0	0	0	1	0	0	4	8	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AD.json	710	2	0	0	0	0	0	15	0	26	0	0	0	0	0	0	0	0	0	0	34	486	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ANY.json	904	2	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	34	205	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BELMMedProduct.json	3597	2	0	0	0	0	0	26	0	10	0	0	0	0	0	0	0	1	0	0	81	349	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BEMedicationLine.json	9468	2	0	0	0	0	0	135	0	63	0	0	1	0	0	0	0	2	0	0	406	931	0	0	0	15	1	0
fsh-generated/resources/StructureDefinition-BL.json	709	1	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	0	0	33	93	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-CD.json	677	2	0	0	0	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	32	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	652	2	1	0	0	0	0	11	0	6	0	0	0	0	0	0	0	0	0	0	39	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DT.json	574	1	0	0	0	0	0	20	0	6	0	0	0	0	0	0	0	0	0	0	42	74	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DispenseRequestNeededCategory.json	1291	2	0	0	0	0	0	14	0	7	0	0	0	0	0	0	0	1	0	0	52	68	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DosageOverride.json	1204	1	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	0	0	61	66	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-DosageOverrideReason.json	1270	2	0	0	0	0	0	19	0	8	0	0	0	0	0	0	0	0	0	0	55	70	0	0	0	1	0	0
